"communityname","state","fold","population","householdsize","racepctblack","racePctWhite","racePctAsian","racePctHisp","agePct12t21","agePct12t29","agePct16t24","agePct65up","pctUrban","medIncome","pctWWage","pctWFarmSelf","pctWInvInc","pctWSocSec","pctWPubAsst","pctWRetire","medFamInc","whitePerCap","blackPerCap","indianPerCap","AsianPerCap","OtherPerCap","HispPerCap","PctPopUnderPov","PctLess9thGrade","PctNotHSGrad","PctBSorMore","PctUnemployed","PctEmploy","PctEmplManu","PctEmplProfServ","PctOccupManu","PctOccupMgmtProf","MalePctDivorce","MalePctNevMarr","FemalePctDiv","PersPerFam","PctFam2Par","PctKids2Par","PctYoungKids2Par","PctTeen2Par","PctWorkMomYoungKids","PctWorkMom","PctKidsBornNeverMar","PctImmigRecent","PctImmigRec5","PctImmigRec8","PctImmigRec10","PctRecentImmig","PctRecImmig5","PctRecImmig8","PctRecImmig10","PctSpeakEnglOnly","PctNotSpeakEnglWell","PctLargHouseFam","PctLargHouseOccup","PersPerOccupHous","PersPerOwnOccHous","PersPerRentOccHous","PctPersOwnOccup","PctPersDenseHous","PctHousLess3BR","MedNumBR","HousVacant","PctHousOccup","PctHousOwnOcc","PctVacantBoarded","PctVacMore6Mos","MedYrHousBuilt","PctHousNoPhone","PctWOFullPlumb","OwnOccMedVal","RentMedian","MedRent","MedRentPctHousInc","MedOwnCostPctInc","MedOwnCostPctIncNoMtg","NumInShelters","NumStreet","PctForeignBorn","PctBornSameState","PctSameHouse85","PctSameCity85","PctSameState85","LandArea","PopDens","PctUsePubTrans","murdPerPop","rapesPerPop","robbbPerPop","assaultPerPop","burglPerPop","larcPerPop","autoTheftPerPop","arsonsPerPop","ViolentCrimesPerPop","nonViolPerPop","rip","midwest","south","northeast","west"
"Kingsvillecity","TX",5,25276,2.96,3.76,66.81,1.56,62.37,18.78,34.78,19.75,8.98,0,22053,75.37,1.65,27.66,24.22,12.75,15.37,26370,11177,5539,7459,9560,5441,6310,27.26,20.21,35.79,20.38,10.29,53.22,10.24,30.39,12.66,27.22,7.62,37,11.54,3.42,72.88,67.14,78.69,77.49,48.76,56.15,2.81,18.02,25.41,31.75,39.22,0.95,1.33,1.67,2.06,45.86,6.64,8.63,6.19,2.85,2.98,2.66,59.67,9.87,52.72,2,1571,84.45,56.92,6.56,58.82,1963,14.06,1.4,40800,277,343,27.6,17.7,13,0,0,5.25,78.54,51.3,76.67,91.9,13.2,1919.5,0.07,15.27,57.27,61.09,698.69,1710.45,3756.87,145.08,68.72,832.32,5681.12,2,0,1,0,0
"Kentwoodcity","MI",5,37826,2.48,5.59,91.27,1.96,2.01,13.34,30.5,13.84,8.91,100,34324,84.96,0.56,46.35,20.27,4.3,11.15,40946,15713,12604,15518,11899,13379,11807,4.98,5.59,16.08,26,3.43,73.61,26.24,19.76,15.89,27.19,9.1,30.03,12.98,3.09,77.16,77.41,87.6,77.97,66.08,75.34,2.17,8.43,12.92,22.81,33.26,0.4,0.61,1.07,1.57,93.15,1.05,3.82,2.51,2.47,2.82,1.97,66.12,2.08,55.9,2,1090,93.33,57.7,0.37,12.48,1975,1.13,0.08,78100,432,475,22.7,18.7,13.4,0,0,4.71,74.57,44.53,77.94,90.59,21.8,1735.5,0.47,2.49,46.22,74.78,154.54,510.99,3803.78,194.43,14.96,278.03,4524.16,1,1,0,0,0
"Butlercity","PA",5,15714,2.28,1.4,97.7,0.41,0.62,12.95,26.14,13.03,17.24,0,17391,64.96,0.18,38.26,35.74,13.59,19.65,24325,10111,8443,9695,30328,1660,4289,23.2,11.04,27.26,11.04,7.39,52.44,17.47,22.78,18.27,18.58,11.89,32.29,16.38,3.01,63.03,62.92,69.78,71.55,52.63,61.1,2.74,0,5.73,5.73,5.73,0,0.1,0.1,0.1,96.24,0.33,3.98,2.35,2.25,2.5,2.04,51.5,1.28,52.78,2,529,92.86,46.43,2.84,54.63,1939,5.56,0.23,39000,248,306,28.4,16.7,12.8,25,0,1.78,89.55,56.9,89.28,96.27,2.8,5624.2,0.73,5.91,17.73,17.73,171.36,401.82,2363.65,236.36,23.64,212.73,3025.47,3,0,0,1,0
"Laceytownship","NJ",5,22141,2.78,0.31,98.88,0.42,1.62,13.45,22.99,10.72,16.31,0,37397,74.69,0.2,49.11,36.05,3.53,23.92,41568,14897,562,15479,38913,10114,15316,4.29,7.62,23.05,13.76,6.1,58.54,10.35,24.78,11.8,24.69,5.65,23.72,8.06,3.12,84.46,81.16,94.54,85.41,56.51,68.46,0.49,6.26,6.26,7.01,9.49,0.26,0.26,0.29,0.4,92.94,0.6,4.29,3.44,2.76,2.74,2.98,88.06,0.97,35.94,3,1556,83.64,88.93,0.32,62.53,1976,0.43,0.14,130000,656,815,29.7,24.8,15.8,0,0,4.19,73.45,56.47,78.41,95.96,87,254.4,1.19,0,0,13.16,65.79,403.49,2170.96,87.72,57.02,78.95,2719.19,3,0,0,1,0
"Ansoniatown","CT",5,18403,2.57,8.28,90,0.67,2.58,11.35,25.35,11.25,15.41,100,34181,76.77,0.18,44.17,34.54,6.21,17.08,40345,15414,8713,17224,11847,10173,8896,7.59,10.97,27.16,12.52,7.55,62.13,29.33,20.29,16.97,20.21,7.49,30.71,10.65,3.09,71.61,68.5,76.91,72.03,62.34,73.52,5.22,6.15,10.8,16.45,18.53,0.47,0.82,1.25,1.41,84.48,1.39,3.57,2.56,2.57,2.72,2.36,61.22,1.63,50.17,2,344,95.42,57.76,3.2,44.48,1948,2.96,1.13,154500,433,541,23.6,22.8,15.8,0,0,7.6,75.62,64.5,87.15,95.03,6.2,2945.6,1.45,11.02,11.02,77.11,247.85,473.67,2004.85,446.13,27.54,347,2952.19,3,0,0,1,0
"EastGreenwichtown","RI",5,11865,2.67,0.41,98,1.34,0.65,13.36,21.94,11.05,10.43,65.95,50896,80.66,0.25,60.52,24.62,4.93,17.54,61843,26189,10685,50000,29726,0,13696,4.72,2.78,10.16,44.18,4.07,65.12,17.46,26.79,5.79,41.33,7.23,27.19,8.85,3.17,84.23,84.9,85.32,89.92,42.05,58.63,1.32,5.45,11.28,13.72,20.11,0.24,0.51,0.62,0.9,93.1,0.57,3.36,2.49,2.64,2.93,1.82,82.11,0.61,32.43,3,214,95.41,74.02,2.8,38.32,1965,0.81,0.49,227900,486,527,28.2,22.7,13.2,0,0,4.48,54.74,56.73,72.89,83.25,17.1,695.4,1.76,0,8.4,8.4,67.22,688.96,1579.57,109.23,0,84.02,2377.76,3,0,0,1,0
"Sharonvillecity","OH",5,11312,2.39,2.17,96.3,1.41,0.59,11.41,26.59,12.08,10.73,100,36332,81.52,0.63,53.55,22.74,2.87,16.87,42427,16972,17074,0,17028,0,18971,5.23,6.87,19.9,21.92,2.27,68.05,27.86,18.91,12.17,32.08,10.82,28.64,13.01,2.96,80.06,78.69,93.22,77.49,62.3,75.6,1.23,11.56,16.13,27.69,33.6,0.38,0.53,0.91,1.11,96.4,0.11,3.06,2.05,2.35,2.63,1.9,69.13,0.76,47.27,3,334,93.41,61.83,0.6,17.07,1967,1.2,0.08,81800,433,474,21.9,18,11.8,0,0,3.29,64.51,47.42,77.02,86.11,9.5,1185.6,0.7,0,28.51,85.53,57.02,1247.33,4796.86,21.38,7.13,171.06,6072.7,1,1,0,0,0
"Greenvillecity","OH",5,12863,2.45,0.52,98.59,0.4,0.61,12.02,22.51,10.49,18.46,0,23044,71.15,1.43,44.53,36.06,5.99,19.87,29523,11721,3754,7330,24236,6006,2695,10.98,9.53,27.71,11.15,7.03,54.51,32.55,21.6,27.25,21,11.13,21.46,13.4,2.92,72.6,72.02,80,76.72,66.58,76.64,1.12,20.14,26.62,36.69,42.45,0.22,0.29,0.4,0.46,97.02,0.63,3.19,2.09,2.32,2.39,2.17,69.05,0.84,47,3,247,95.51,66.99,3.64,40.89,1955,6.11,0.31,52600,241,333,24.7,16,11.7,0,0,1.08,80.22,53.17,86.56,93.15,5.1,2539.7,0.29,0,38.6,54.04,15.44,779.68,3643.66,138.95,23.16,108.08,4585.45,1,1,0,0,0
"Tempecity","AZ",5,141865,2.55,3.2,86.85,4.05,10.88,18.97,38.87,22.84,5.96,100,31885,87.5,0.91,42.73,13.56,3.47,11.14,40512,16406,10897,8105,10126,9067,10622,13.61,3.32,10.08,36.75,5.19,69.9,15.88,25.91,9.01,34.6,9.22,46.43,13.39,3.08,73.62,72.11,82.8,76.96,59.79,69.44,2.69,25.16,39.51,50.94,58.04,1.82,2.86,3.68,4.2,86.6,1.62,5.11,3,2.47,2.75,2.18,57.35,4.56,53.75,2,5912,90.38,51.58,0.61,20.97,1976,4.04,0.22,91500,437,496,29.5,21.3,12.1,51,0,7.23,27.11,34.8,67.8,71.28,40.9,3465.2,1.48,2.68,43.52,163.37,346.83,1388,5356.47,938.05,37.5,556.4,7720.02,4,0,0,0,1
"Sanfordcity","NC",5,14475,2.52,34.85,63.24,0.57,1.57,13.73,25.45,11.77,13.52,0,21205,73.05,0.83,29.46,31.3,9.21,13.12,26046,13608,6649,17781,15385,7859,6694,21.06,12.27,29.52,14.83,6.93,58.03,35.05,20.19,24.1,24.02,11.57,30.59,16.22,3.02,58.28,51.61,56.25,57.78,68.41,78.91,6.9,19.15,24.82,45.74,52.84,0.37,0.48,0.89,1.03,96.01,1.16,4.78,3.31,2.46,2.48,2.42,59.14,3.49,44.22,3,488,92.16,58.52,2.46,32.58,1966,10.51,0.8,52800,244,356,26.7,22.5,13.6,6,0,1.95,76.15,52.15,78.91,90.39,14.5,1001.3,0,12.1,66.56,278.33,883.4,3273.43,10298.3,369.09,72.61,1240.39,14013.43,2,0,1,0,0
"Williamsburgcity","VA",5,11530,3.32,15.21,81.25,2.91,1.31,40.83,58.9,49.38,10.29,100,25393,75.83,0.77,54.93,26.43,5.79,19.3,36693,12732,8605,6487,4858,1692,13220,19.37,6.97,16.26,42.9,4.87,46.89,4.12,47.37,5.65,38.76,5.38,65.8,7.16,2.7,60.91,55.86,84.29,55.8,57.55,72.61,6.54,32.26,37.99,43.73,47.67,1.56,1.84,2.12,2.31,92.88,0.42,3,1.5,2.11,2.19,2.06,37.83,1.47,61.49,2,492,87.58,36.39,0.61,48.78,1970,4.56,0.45,121000,428,492,28.3,20.3,12.1,0,0,4.84,36.7,23.89,30.95,70.68,8.9,1292.6,1.05,0,23.65,149.77,39.41,378.37,3074.26,228.6,7.88,212.83,3689.11,2,0,1,0,0
"Wickliffecity","OH",5,14558,2.63,2.69,96.49,0.61,0.52,11.97,24.21,11.35,16.07,100,32964,76.81,0.7,50.23,38,2.52,26.95,37671,14231,13198,0,13227,0,11994,4.18,6.91,23.47,11.79,4.41,59.17,30.08,20.4,14.3,22.29,7.56,28.2,9.85,3.03,79.07,77.17,93.3,79.05,55.82,62.41,0.32,3.67,3.67,4.65,5.5,0.18,0.18,0.23,0.27,91.38,1.01,3.92,2.96,2.59,2.64,2.33,86.03,1.5,24.84,3,90,98.4,84.44,1.11,22.22,1957,0.63,0.21,69900,368,437,22.6,17.2,12.3,0,0,4.87,76.17,76.02,89.52,97.83,4.8,3020.3,1.13,0,7.22,28.89,93.9,404.48,1560.13,216.68,0,130.01,2181.29,1,1,0,0,0
"Smyrnacity","GA",5,30981,2.09,15.87,80.22,2.26,3.55,10.19,34.22,14.17,7.72,100,33863,87.59,0.58,42.47,14.56,2.73,8.89,40482,20366,14237,5058,16537,12588,12021,6.57,5.7,15.33,34.13,3.92,76.17,10.61,17.65,7.26,33.69,13.34,37.6,17.61,2.81,67.96,64.13,86.62,71.7,70.24,76.03,2.83,24.75,40.73,51.8,59.16,1.47,2.41,3.07,3.5,91.34,1.51,2.83,1.42,2.06,2.24,1.93,46.77,2.02,66.44,2,1987,88.19,43.09,1.31,10.32,1979,2.78,0.21,78100,476,562,24.4,20.2,13.3,0,8,5.92,42.71,37.42,57.98,71.52,11.8,2630,1.04,3.02,39.3,217.68,187.45,1532.83,6140.4,801.19,0,447.45,8474.42,2,0,1,0,0
"CrownPointcity","IN",5,17728,2.76,1.46,97.34,0.73,2.28,12.78,23.63,11.04,13.59,100,37539,78.25,0.56,54.89,28.77,2.17,19,43657,15681,3032,0,30560,16372,10484,3.43,6.52,17.03,20.94,5.35,61.04,20.46,27.95,11.3,29.18,7,25.58,9.63,3.15,84.02,82.86,95.71,88.37,55.9,70.28,0.8,2.35,2.93,3.91,10.36,0.14,0.17,0.23,0.6,89.14,1.46,4.1,3.04,2.64,2.9,2.01,78.47,1.45,36.5,3,154,97.66,71.62,0.65,26.62,1967,0.53,0.18,80300,397,476,25.6,17.9,12.6,0,0,5.77,64.76,58.26,88.4,91.48,8.2,2168.3,1.09,0,0,21.99,32.99,395.91,1253.71,126.47,16.5,54.98,1792.59,1,1,0,0,0
"Hanahancity","SC",5,13176,2.59,9.32,87.84,1.49,2.41,16.55,34.48,19.23,7.52,100,28435,85.31,0.49,36.66,18.12,4.17,19.05,33294,14692,7572,12077,11680,10470,8562,7.53,7.11,20.26,15.72,2.83,68.22,16.39,17.15,14.12,24.43,11.68,29.96,13.93,2.98,74.46,70.16,85.99,74.21,53.98,66.38,1.13,21.28,36.73,48.1,52.77,0.55,0.96,1.25,1.37,94.86,1.11,3.25,2.34,2.56,2.68,2.4,59.47,2.97,43.87,3,296,94.5,56.74,0.68,30.41,1969,5.21,0,80300,325,403,23.7,19.1,12.2,0,0,2.6,49.14,43.82,60.28,76.42,9.9,1325,0.61,0,77.42,61.93,348.38,874.82,3166.37,209.03,0,487.73,4250.22,2,0,1,0,0
"Haverfordtownship","PA",5,49848,2.81,2.03,96.07,1.75,0.67,13.05,23.6,12.45,15.8,100,48210,78.9,0.82,67.65,32.9,2.35,20.32,54458,20785,18772,15376,12383,4681,11860,3.18,4.45,12.66,37.63,2.81,63.42,10.2,35.67,6.45,41.11,4.18,31.41,6.82,3.19,88.62,87.91,98.86,89.2,54.95,64.73,0.73,10.16,13.38,18.34,22.06,0.65,0.86,1.18,1.42,90.88,0.88,5.46,4.21,2.74,2.85,2.08,89.05,0.71,16.64,3,490,97.31,85.59,0.41,35.92,1947,0.29,0.07,148700,549,629,27.1,20.7,13.2,109,0,6.41,76.86,69.18,81.73,92.73,10.4,4805.5,8.94,1.97,3.94,25.64,45.36,203.14,804.69,100.59,1.97,76.91,1110.39,3,0,0,1,0
"LongBranchcity","NJ",5,28658,2.48,19.5,73.5,1.47,13.57,11.75,26.7,12.27,13.79,100,30693,76.71,0.73,38.24,29.27,9.04,13.19,35141,18450,9671,24285,13843,7872,7090,14.72,10.82,28.15,20.13,8.57,61.06,10.54,25.86,12.84,27.1,10.82,37.63,15.18,3.12,59.79,54.38,71.12,52.67,59.78,68.02,6.45,20.47,31.12,35.25,42.2,2.16,3.28,3.72,4.45,78.21,5.5,6.94,4.29,2.44,2.69,2.25,48.52,5.49,64.19,2,2088,84.68,44.09,2.63,55.03,1954,5.06,0.5,149100,540,601,28.2,27.1,18,0,1,10.55,57.67,54.77,84.78,89.49,5.4,5303.9,6.04,7.14,46.39,424.67,749.41,2223.25,4560.7,442.51,78.51,1227.61,7304.97,3,0,0,1,0
"Humblecity","TX",5,12060,2.55,7.75,82.35,2.4,12.1,15.45,31.84,15.3,7.19,100,27483,85.27,0.53,24.45,16.01,4.36,8.21,33019,13659,10882,11508,13613,8019,8187,8.56,9.5,22.83,13.96,5.16,70.31,10.56,18.16,12.52,20.85,15.78,28.14,19.66,3.12,68.66,65.85,84.05,59.56,59.22,70.22,1.48,16.78,25.49,34.2,64.37,1.07,1.63,2.18,4.1,88.03,4.06,5.03,3.27,2.5,2.84,2.3,41.21,6.21,63.21,2,522,90.08,36.22,1.72,39.46,1979,4.5,0,62400,346,418,23.1,18.5,13.8,0,1,6.38,59.83,32.52,75.22,89.45,10.2,1180,1.11,14.99,82.43,284.77,389.69,1199.04,5860.31,2697.84,22.48,771.88,9779.67,2,0,1,0,0
"Suffieldtown","CT",5,11427,2.74,1.55,96.9,1.21,0.86,13.25,22.59,11.04,12.44,22.54,50714,82.59,2.48,65.6,25.48,3.72,19.7,56769,24445,17359,17800,19657,0,12783,2.72,4.41,12.49,30.49,3.46,66.27,20.15,20.3,10.98,37.78,6.46,27.48,8.63,3.08,87.59,81.9,95.32,86.81,58.68,70.25,0.36,14.15,14.15,24.06,28.77,0.53,0.53,0.89,1.07,93.17,0.58,3.6,2.78,2.67,2.8,2.13,84.09,0.57,31.66,3,208,95.26,80.12,3.37,59.13,1964,1.05,0.55,185800,549,669,25.4,22.5,12.3,0,0,3.71,45.24,59.43,80.65,83.36,43.7,261.3,1.36,0,0,8.74,34.97,218.53,804.2,87.41,8.74,43.71,1118.88,3,0,0,1,0
"Bettendorfcity","IA",5,28132,2.64,1.37,96.8,0.96,2.15,13.98,23.98,10.59,9.12,100,40174,84.53,1.37,59.13,21.25,2.86,15.72,46770,17805,17587,15049,14633,16222,14202,4.73,2.92,9.93,34.21,3.92,69.27,16.87,23.88,9.41,35.54,7.71,22.77,10.54,3.09,82.31,82.02,89.13,79.63,67.02,72.43,1.5,2.33,4.07,6.78,14.53,0.04,0.07,0.12,0.27,95.69,0.45,3.27,2.44,2.62,2.8,2.11,78.88,0.8,34.45,3,400,96.38,73.72,1.25,19.75,1968,0.93,0.12,67500,335,415,21,17.3,12,0,0,1.84,54.35,53.52,76.72,83.03,22,1278.9,0.49,0,13,42.24,399.61,662.77,2794.02,77.97,13.07,454.85,3547.83,1,1,0,0,0
"LaCrossecity","WI",5,51003,2.55,0.72,93.78,4.85,0.88,20.07,36.37,24.03,13.44,100,21947,74.26,0.9,49.91,31.63,8.53,16.46,30067,11342,7298,5776,3558,1977,7452,21.04,9.55,19.28,21.43,6.24,59.81,16.83,29.98,15.97,24.84,8.26,42.74,10.02,2.99,69.11,70.09,78.34,77.11,61.44,71.58,2.47,43.35,52.17,59.06,71.23,1.8,2.17,2.45,2.96,93.03,2.07,4.98,3.08,2.34,2.45,2.24,51.8,3.1,56.78,2,927,95.56,49.56,1.08,26.11,1951,3.1,0.44,53500,286,344,27.1,19.8,14.3,25,0,4.16,73.83,45.19,71.11,89.1,19,2681.7,3.16,0,13.65,25.35,35.1,356.82,5118.26,132.59,27.3,74.1,5634.97,1,1,0,0,0
"Hobartcity","IN",5,21822,2.7,0.22,98.37,0.22,4.85,13.99,24.93,11.45,12.84,100,34602,78.41,0.72,45.66,32.29,3.55,22.2,40152,14582,18120,10235,27563,10277,10215,5.08,6.01,21.32,11.71,4.86,61.57,24.25,19.72,16.09,21.76,8.07,25.2,10.63,3.13,81.08,78.72,93.39,83.46,59.82,67.23,0.56,3.43,6.24,7.33,9.83,0.1,0.18,0.22,0.29,92.28,1.02,4.68,3.54,2.68,2.8,2.26,80.65,2.07,38,3,229,97.24,77.03,3.49,44.54,1957,2.04,0.13,53000,361,445,24.2,15.4,12.9,0,0,2.94,69.48,63.4,88.13,93.68,16,1363.5,2.11,0,0,45.03,118.72,446.21,1571.97,360.24,0,163.75,2378.42,1,1,0,0,0
"Albemarlecity","NC",5,14939,2.47,17.63,81.01,1.14,0.44,12.33,23.7,11.64,17.82,0,22504,71.54,0.95,31.31,34.52,7.86,15.69,27907,12816,6609,0,15154,2833,6496,14.11,17.47,39.42,12.49,6.66,57.87,41.57,16.06,32.88,19.13,10.12,23.61,12.23,2.92,69.37,65.48,70.19,81.61,78.34,78.88,4.8,12.71,12.71,26.27,38.98,0.2,0.2,0.42,0.62,96.33,0.95,3.14,2.16,2.38,2.4,2.33,67.16,2.23,52.05,2,488,92.54,66.47,1.64,43.85,1957,8.26,0.34,49000,235,331,24.4,20.2,13.3,0,0,1.58,81.75,59.37,83.64,91.46,15.2,983.3,0,5.7,0,210.9,689.69,2376.88,6497.95,262.2,28.5,906.29,9165.53,2,0,1,0,0
"RoyalOakcity","MI",5,65410,2.31,0.51,97.9,1.11,1.06,9.63,24.83,9.78,14.22,100,36835,78.81,0.48,57.42,28.43,3.12,18.81,44446,18145,12471,20283,13824,12295,13364,4.56,3.64,13.95,28.42,4.36,66.01,19.21,25.59,8.96,33.74,9.22,30.75,13.14,2.95,79.54,79.12,92.1,78.95,61.98,68.53,0.74,8.77,13.72,17.08,20.5,0.56,0.88,1.09,1.31,93.8,0.62,3.12,1.93,2.29,2.51,1.78,76.76,1.22,42.67,3,819,97.19,69.98,0.37,19.29,1953,0.99,0.16,75600,465,497,23.6,17.9,13.3,76,0,6.38,74.66,59.55,82.75,94.3,12.2,5340.5,0.74,1.45,20.98,71.21,204.91,482.47,2992.21,361.86,14.53,298.55,3851.07,1,1,0,0,0
"Newportcity","KY",5,18871,2.6,3.8,95.48,0.33,0.48,14.78,29.51,14.2,11.31,100,18683,70.41,0.61,27.23,30.68,12.14,13.1,22848,9206,6842,3781,7832,11512,11416,25.83,21.83,45.84,7.98,8.99,56.78,19.39,16.7,22.5,14.96,15.53,33.15,18.69,3.27,58.34,52.92,52.6,60.7,57.86,63.81,5.76,11.21,26.72,26.72,43.1,0.07,0.16,0.16,0.26,97.6,0.45,7.86,5.06,2.57,2.77,2.4,48.89,5.74,66.9,2,793,90.16,45.32,6.68,38.84,1939,12.17,0.48,37300,261,330,27.3,17.5,12.9,0,3,0.61,75.82,48.66,82.1,90.56,2.8,6654.1,7.46,10.62,69.03,169.92,844.31,1624.89,5023.36,536.32,21.24,1093.88,7205.81,2,0,1,0,0
"DeerfieldBeachcity","FL",5,46325,2,16.68,81.57,0.84,3.86,6.9,18.5,8,33,100,26950,56.3,0.44,50.33,51.75,2.78,20.57,35318,19119,7504,23238,12511,9313,12427,9.89,8.75,25.73,16.07,4.79,48.33,8.91,16.44,9.25,24.63,10.56,24.5,11.94,2.62,66.1,58.7,77.97,60.51,68.59,76.28,3.81,9.06,14.53,20.31,29.59,1.37,2.2,3.07,4.47,85.27,2.89,3.77,2.1,2,1.99,2.02,71.79,3.72,79.54,2,5678,80.28,72.1,1.07,34.29,1976,2.82,0.48,97400,536,611,28,23.5,12.7,0,0,15.11,18.81,51.19,73.61,81.3,10.8,4281.4,1.35,12.61,52.56,243.89,523.52,1337.17,4545.55,937.7,10.51,832.58,6830.93,2,0,1,0,0
"Christiansburgtown","VA",5,15004,2.5,5.31,94.3,0.33,0.51,13.56,27.06,12.94,10.69,0,26171,78.16,0.53,36.1,26.2,6.92,14.01,31468,12112,10683,0,16225,10692,15303,10.92,16.4,31.37,17.22,4.01,66.17,25.32,25.94,18.73,25.9,9.87,24.07,14.23,2.92,74.15,72.15,89.34,67.53,68.03,76.67,1.1,0,17.54,17.54,29.82,0,0.07,0.07,0.11,98.61,0.2,2.06,1.53,2.47,2.55,2.29,69.83,1.18,38.22,3,256,95.92,67.49,0.39,40.62,1973,4.76,0.1,65500,275,347,23.1,19.6,11.6,0,0,0.38,73.37,50.91,80.68,91.43,14,1071.1,0.11,0,33.88,22.59,56.47,485.66,4043.37,214.59,0,112.94,4743.62,2,0,1,0,0
"VeroBeachcity","FL",5,17350,2.1,3.29,95.65,0.56,2.51,8.77,18.62,8.96,27.09,100,26877,56.75,0.55,52.16,46.98,3.69,23.7,35268,20987,5381,8972,11473,17643,16504,9.85,5.71,19.48,23.51,7.16,45.58,7.43,22.9,7.72,25.96,12.04,23.94,14.93,2.59,65.67,62.96,77.36,68.27,66.51,71.42,1.33,12.87,15.35,18.47,23.62,0.81,0.96,1.16,1.48,92.4,0.6,1.91,1.16,2.07,2.08,2.06,62.34,2.24,65.76,2,1795,82.16,62.11,0.39,22.95,1971,6.3,0.57,104300,411,488,28.6,22.3,11.9,0,2,6.27,21.25,46.67,70.33,78.52,11.5,1512.9,0,5.43,81.46,135.77,434.45,1612.9,5224.29,581.08,10.86,657.11,7429.13,2,0,1,0,0
"WestPatersonborough","NJ",5,10982,2.58,1.42,94.91,2.34,4.23,10.84,26.87,12.35,12.46,100,44933,84.33,0.94,53.87,28.4,3.56,16.67,51322,20180,97458,0,13041,14405,15457,3.86,12.56,25.64,21.07,4.19,68.52,22.72,19.83,10.77,30.85,7.68,31.18,9.85,3.04,81.97,80.01,94.24,80,55.12,61.12,1.26,8.88,13.08,21.55,28,1.37,2.01,3.31,4.31,75.05,3.94,3.72,2.7,2.56,2.82,2.17,65.52,1.74,46.37,3,191,95.71,59.46,0,28.8,1962,0.16,0.25,193600,638,698,22.6,24.2,14.5,0,0,15.38,67.75,62.05,80.37,93.87,3.1,3578.6,3.19,0,17.5,43.74,174.98,664.92,2572.18,804.9,8.75,236.22,4050.75,3,0,0,1,0
"Sherwoodcity","AR",5,18893,2.69,5.25,93.64,0.47,1.09,14.39,26.78,11.9,6.96,100,36698,88.53,1.24,42.65,17.78,2.53,16.71,39659,15620,11853,8805,13568,4104,8764,4.25,2.56,12.78,23.47,3.55,72.16,12.59,23.61,10.93,28.07,8.49,21.25,12.69,3.05,82.64,80.91,89.43,85.96,71.97,77.53,0.41,5.32,5.32,14.45,21.67,0.07,0.07,0.2,0.3,97.16,0.45,2.2,1.77,2.68,2.78,2.43,75.63,1.31,28.3,3,357,95.16,73.13,2.52,33.89,1976,2.09,0.09,70100,339,463,21.7,18.6,11.5,6,0,1.39,61.69,50.98,79.25,86.66,12.1,1558.8,0.53,4.83,14.49,77.25,173.82,574.57,3152.91,449.04,4.83,270.39,4181.35,2,0,1,0,0
"Shoreviewcity","MN",5,24587,2.73,0.74,96.4,2.27,0.93,12.41,24.11,10.17,5.45,100,48828,91.06,0.69,62.11,11.92,1.43,11.07,53840,20606,18678,64751,20252,10485,15482,2.77,1.49,4.99,42.14,2.45,78.95,22.3,26.03,7.72,40.47,6.75,25.74,10.28,3.17,86.44,86.68,95.81,79.78,71.82,77.85,1.03,18.65,28.27,32.18,32.18,0.5,0.76,0.87,0.87,95.53,0.58,2.94,2.26,2.73,2.84,2.02,89.55,1.02,33.49,3,289,96.89,85.93,0,38.41,1976,0.27,0.15,109700,497,526,22.4,21.9,11.6,0,0,2.7,71.63,49.88,76.36,91.29,11.6,2120.4,1.51,7.35,15.72,3.68,3.68,224.22,830.7,69.84,11.03,30.43,1135.79,1,1,0,0,0
"Louisvillecity","KY",5,269063,2.38,29.65,69.21,0.73,0.65,13.13,26.4,12.64,14.71,100,20141,69.24,0.76,33.08,32.93,11.47,17.21,25805,13532,7022,7785,7265,6303,8701,22.61,12.85,32.81,17.23,8.24,54.43,16.32,27.55,16.52,24.26,14.08,35.37,17.07,3.02,53.89,47.79,61.3,57.11,60.64,69.2,8.76,27.25,36.37,45.98,51.45,0.41,0.55,0.69,0.77,96.67,0.54,5.02,3.03,2.31,2.46,2.12,58.53,3.3,61.41,2,10953,91.17,54.9,15.07,47.35,1947,7.93,0.58,44300,244,308,26.4,17.8,12.9,808,33,1.5,79.31,56.29,89.65,92.97,64.3,4181.4,8.61,13.57,49.52,510.93,425.11,1541.97,2962.17,852.78,94.26,999.13,5451.18,2,0,1,0,0
"Needhamtown","MA",5,27557,2.71,0.66,96.98,2.2,0.96,11.13,20.91,10.05,14.33,100,60357,77.61,0.55,70.05,28.54,1.82,17.92,69515,28135,23621,8328,23645,5456,12809,3.29,2.08,5.58,53.74,4.35,64.16,13.61,35.02,4.51,50,4.1,28.01,7.14,3.14,87.25,86.71,92.91,83.11,52.54,66.96,0.41,10.52,15.92,18.26,21.13,0.8,1.21,1.39,1.6,91.71,0.81,3.9,2.94,2.68,2.84,2.07,84.33,0.43,25.73,3,245,97.65,79.69,0,22.45,1953,0.15,0.26,256500,798,893,24.7,20.3,13.4,0,0,7.59,65,67.81,78.96,90.62,13.1,2108.6,10.51,0,10.57,10.57,123.3,324.1,1218.91,91.59,14.09,144.44,1648.69,3,0,0,1,0
